날짜	시간	구경	탄종	기준바코드	리딩바코드	검사결과
2026-03-23	08:27:48	25AUTO	25A	741569070027	741569070027	OK
2026-03-23	08:28:00	25AUTO	25A	741569070027	777777777777	NG
